danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.758,0.878,11,-6.656,0.0549,0.39,0.866,0.1,0.0668,134.019,336716,4
0.81,0.836,1,-7.721,0.0645,0.0515,0.229,0.0598,0.0585,139.979,146571,4
0.863,0.773,11,-3.944,0.34,0.435,0.0599,0.1,0.662,123.339,336230,4
0.652,0.244,5,-21.979,0.054,0.832,0.904,0.133,0.522,169.81,289960,4
0.625,0.624,0,-7.812,0.139,0.306,0.0,0.135,0.769,119.975,291273,4
0.708,0.872,11,-6.719,0.0336,0.236,0.0661,0.108,0.742,140.063,174417,4
0.395,0.338,9,-12.271,0.0306,0.88,0.461,0.168,0.077,80.017,107853,4
0.437,0.601,10,-8.632,0.044,0.0311,0.765,0.0914,0.0557,120.862,272867,4
0.728,0.085,4,-25.631,0.233,0.925,0.831,0.0992,0.753,142.199,180279,4
0.71,0.866,1,-4.891,0.0442,0.000862,0.467,0.0607,0.196,126.028,291401,4
0.857,0.0986,10,-20.584,0.117,0.989,0.121,0.118,0.451,126.103,129865,4
0.562,0.604,2,-11.349,0.0296,0.386,0.0375,0.088,0.799,145.295,308323,4
0.615,0.671,8,-12.611,0.0499,0.0514,0.0166,0.285,0.762,124.614,287078,4
0.761,0.637,7,-8.169,0.0268,0.439,0.0082,0.102,0.656,125.115,235387,4
0.742,0.718,8,-8.678,0.0896,0.0287,0.861,0.12,0.971,149.98,681038,4
0.802,0.968,7,-5.441,0.064,0.00707,0.879,0.0694,0.351,131.979,528415,4
0.678,0.538,7,-11.139,0.0502,0.404,0.86,0.0886,0.658,134.022,174735,4
0.818,0.767,11,-8.278,0.304,0.0444,0.000286,0.347,0.38,128.059,316865,4
0.795,0.818,11,-6.156,0.0649,0.0749,8.12e-05,0.0958,0.967,113.657,359613,4
0.493,0.851,6,-4.953,0.0304,0.53,0.00355,0.223,0.887,94.002,150827,4
0.627,0.714,10,-11.029,0.0334,0.0328,0.0124,0.0765,0.421,129.613,244946,4
0.64,0.405,7,-14.358,0.0441,0.679,0.652,0.115,0.587,95.119,212907,4
0.77,0.862,10,-12.751,0.0769,0.113,1.84e-05,0.0659,0.733,95.041,152600,4
0.672,0.689,5,-9.728,0.0281,0.12,0.253,0.188,0.961,101.059,271427,4
0.739,0.415,10,-7.698,0.0465,0.86,0.934,0.163,0.917,115.799,157733,4
0.71,0.866,1,-4.891,0.0441,0.000855,0.466,0.0607,0.196,126.028,291401,4
0.428,0.265,1,-15.486,0.0292,0.0356,0.835,0.28,0.323,137.952,220502,4
