artist,song,popularity,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,clusters
Daphni,Cloudy - Kelbin Remix,0,spotify:track:4OtqragtOuKh41rBNnFXuK,0.758,0.878,11,-6.656,0,0.0549,0.39,0.866,0.1,0.0668,134.019,audio_features,4OtqragtOuKh41rBNnFXuK,https://api.spotify.com/v1/tracks/4OtqragtOuKh41rBNnFXuK,https://api.spotify.com/v1/audio-analysis/4OtqragtOuKh41rBNnFXuK,336716,4,9
Skrillex,Rumble,84,spotify:track:1GfBLbAhZUWdseuDqhocmn,0.81,0.836,1,-7.721,0,0.0645,0.0515,0.229,0.0598,0.0585,139.979,audio_features,1GfBLbAhZUWdseuDqhocmn,https://api.spotify.com/v1/tracks/1GfBLbAhZUWdseuDqhocmn,https://api.spotify.com/v1/audio-analysis/1GfBLbAhZUWdseuDqhocmn,146571,4,7
altrice,yoni,31,spotify:track:0KpuGGkI2ELoGm7J8aDQbK,0.863,0.773,11,-3.944,0,0.34,0.435,0.0599,0.1,0.662,123.339,audio_features,0KpuGGkI2ELoGm7J8aDQbK,https://api.spotify.com/v1/tracks/0KpuGGkI2ELoGm7J8aDQbK,https://api.spotify.com/v1/audio-analysis/0KpuGGkI2ELoGm7J8aDQbK,336230,4,0
Junior Boys,Night Walk,23,spotify:track:1ufmBDHamjH3v8Ms1cyNsN,0.652,0.244,5,-21.979,1,0.054,0.832,0.904,0.133,0.522,169.81,audio_features,1ufmBDHamjH3v8Ms1cyNsN,https://api.spotify.com/v1/tracks/1ufmBDHamjH3v8Ms1cyNsN,https://api.spotify.com/v1/audio-analysis/1ufmBDHamjH3v8Ms1cyNsN,289960,4,5
Zaza,Nduzangou,0,spotify:track:261oqGIHQWXeBWoLNsnMDm,0.625,0.624,0,-7.812,0,0.139,0.306,0.0,0.135,0.769,119.975,audio_features,261oqGIHQWXeBWoLNsnMDm,https://api.spotify.com/v1/tracks/261oqGIHQWXeBWoLNsnMDm,https://api.spotify.com/v1/audio-analysis/261oqGIHQWXeBWoLNsnMDm,291273,4,2
KH,Looking at Your Pager,54,spotify:track:0y6CoVW1ZSBqRmPbyfhFQs,0.708,0.872,11,-6.719,1,0.0336,0.236,0.0661,0.108,0.742,140.063,audio_features,0y6CoVW1ZSBqRmPbyfhFQs,https://api.spotify.com/v1/tracks/0y6CoVW1ZSBqRmPbyfhFQs,https://api.spotify.com/v1/audio-analysis/0y6CoVW1ZSBqRmPbyfhFQs,174417,4,4
LaRhonda LeGette,Thou Art With Me,13,spotify:track:3BN1Cwn8Z8JxvWIzq9nE7A,0.395,0.338,9,-12.271,0,0.0306,0.88,0.461,0.168,0.077,80.017,audio_features,3BN1Cwn8Z8JxvWIzq9nE7A,https://api.spotify.com/v1/tracks/3BN1Cwn8Z8JxvWIzq9nE7A,https://api.spotify.com/v1/audio-analysis/3BN1Cwn8Z8JxvWIzq9nE7A,107853,4,5
Koreless,Black Rainbow,22,spotify:track:35fdFuD916UVSJ9BBAlMt4,0.437,0.601,10,-8.632,0,0.044,0.0311,0.765,0.0914,0.0557,120.862,audio_features,35fdFuD916UVSJ9BBAlMt4,https://api.spotify.com/v1/tracks/35fdFuD916UVSJ9BBAlMt4,https://api.spotify.com/v1/audio-analysis/35fdFuD916UVSJ9BBAlMt4,272867,4,7
Joel Vandroogenbroeck,Fairy Tale,17,spotify:track:2b8UOiBgWEaqNxHzj40oai,0.728,0.085,4,-25.631,0,0.233,0.925,0.831,0.0992,0.753,142.199,audio_features,2b8UOiBgWEaqNxHzj40oai,https://api.spotify.com/v1/tracks/2b8UOiBgWEaqNxHzj40oai,https://api.spotify.com/v1/audio-analysis/2b8UOiBgWEaqNxHzj40oai,180279,4,5
altrice,bda creature,29,spotify:track:6dnZv0EmSwCoBq91rFK0IH,0.71,0.866,1,-4.891,1,0.0442,0.000862,0.467,0.0607,0.196,126.028,audio_features,6dnZv0EmSwCoBq91rFK0IH,https://api.spotify.com/v1/tracks/6dnZv0EmSwCoBq91rFK0IH,https://api.spotify.com/v1/audio-analysis/6dnZv0EmSwCoBq91rFK0IH,291401,4,7
Daphni,Arp Blocks,35,spotify:track:16nMtzomkigsObsp4d4Dvv,0.857,0.0986,10,-20.584,1,0.117,0.989,0.121,0.118,0.451,126.103,audio_features,16nMtzomkigsObsp4d4Dvv,https://api.spotify.com/v1/tracks/16nMtzomkigsObsp4d4Dvv,https://api.spotify.com/v1/audio-analysis/16nMtzomkigsObsp4d4Dvv,129865,4,5
Mark A Mitchell,How Can I?,36,spotify:track:643ojjjenyR15q32CkaQmg,0.562,0.604,2,-11.349,1,0.0296,0.386,0.0375,0.088,0.799,145.295,audio_features,643ojjjenyR15q32CkaQmg,https://api.spotify.com/v1/tracks/643ojjjenyR15q32CkaQmg,https://api.spotify.com/v1/audio-analysis/643ojjjenyR15q32CkaQmg,308323,4,2
Ersen ve Dadaşlar,Yedin Beni,20,spotify:track:0AsLxYyfCn0Xo0UVr9Lucb,0.615,0.671,8,-12.611,1,0.0499,0.0514,0.0166,0.285,0.762,124.614,audio_features,0AsLxYyfCn0Xo0UVr9Lucb,https://api.spotify.com/v1/tracks/0AsLxYyfCn0Xo0UVr9Lucb,https://api.spotify.com/v1/audio-analysis/0AsLxYyfCn0Xo0UVr9Lucb,287078,4,4
MGMT,Congratulations,59,spotify:track:6kblAEj0T0312fv5QWsXzo,0.761,0.637,7,-8.169,1,0.0268,0.439,0.0082,0.102,0.656,125.115,audio_features,6kblAEj0T0312fv5QWsXzo,https://api.spotify.com/v1/tracks/6kblAEj0T0312fv5QWsXzo,https://api.spotify.com/v1/audio-analysis/6kblAEj0T0312fv5QWsXzo,235387,4,4
Caribou,Sunnys Time - Prince Nifty Saddle up Mix,13,spotify:track:0PbrN3yxhpjx01gZihUjXA,0.742,0.718,8,-8.678,0,0.0896,0.0287,0.861,0.12,0.971,149.98,audio_features,0PbrN3yxhpjx01gZihUjXA,https://api.spotify.com/v1/tracks/0PbrN3yxhpjx01gZihUjXA,https://api.spotify.com/v1/audio-analysis/0PbrN3yxhpjx01gZihUjXA,681038,4,9
g-man,QuoVadis,22,spotify:track:1IzhgTb9MmDmTFaKqwR9E2,0.802,0.968,7,-5.441,1,0.064,0.00707,0.879,0.0694,0.351,131.979,audio_features,1IzhgTb9MmDmTFaKqwR9E2,https://api.spotify.com/v1/tracks/1IzhgTb9MmDmTFaKqwR9E2,https://api.spotify.com/v1/audio-analysis/1IzhgTb9MmDmTFaKqwR9E2,528415,4,9
Daphni,Crimson,37,spotify:track:2DbXrJTjTUsT0Z3kvwpRo1,0.678,0.538,7,-11.139,1,0.0502,0.404,0.86,0.0886,0.658,134.022,audio_features,2DbXrJTjTUsT0Z3kvwpRo1,https://api.spotify.com/v1/tracks/2DbXrJTjTUsT0Z3kvwpRo1,https://api.spotify.com/v1/audio-analysis/2DbXrJTjTUsT0Z3kvwpRo1,174735,4,9
Kareem Ali,Night Echoes,16,spotify:track:3iEbpvvr4Y8F7sQshQY1pS,0.818,0.767,11,-8.278,0,0.304,0.0444,0.000286,0.347,0.38,128.059,audio_features,3iEbpvvr4Y8F7sQshQY1pS,https://api.spotify.com/v1/tracks/3iEbpvvr4Y8F7sQshQY1pS,https://api.spotify.com/v1/audio-analysis/3iEbpvvr4Y8F7sQshQY1pS,316865,4,0
