artist,song,popularity
Skrillex,Rumble,84
Daphni,Always There,39
Daphni,Cloudy,46
altrice,yoni,32
Junior Boys,Night Walk,24
Zaza,Nduzangou,0
Daphni,Crimson,38
KH,Looking at Your Pager,55
LaRhonda LeGette,Thou Art With Me,14
Koreless,Black Rainbow,23
Joel Vandroogenbroeck,Fairy Tale,17
altrice,bda creature,29
Daphni,Arp Blocks,36
Mark A Mitchell,How Can I?,36
Ersen ve Dadaşlar,Yedin Beni,20
MGMT,Congratulations,60
Caribou,Sunnys Time - Prince Nifty Saddle up Mix,14
g-man,QuoVadis,23
Kareem Ali,Night Echoes,16
The New York Community Choir,"I'll Keep My Light in My Window - 12"" Version",33
Phil Cordell,RED LADY,39
Caribou,Never Come Back - Koreless Remix,0
Captain Beefheart & His Magic Band,Observatory Crest,42
Superlatives,I Don't Know How (To Say I Love You),0
Aphrodite's Child,Such A Funny Night,6
Offering,Tilim m'dohm,6
altrice,bda creature,11
George Duke,Faces in Reflection No.1,14
George Duke,Faces in Reflection No.2,11
645AR,Yoga,45
Apple & The Three Oranges,Love Brings Out the Best of You,19
Steve Tibbetts,The Big Wind,14
Joe Chambers,The Almoravid,8
Dean Blunt,AVAILABLE,21
Caribou,Never Come Back - Floating Points Remix,0
Lotte Kærså & Græsrødderne,Prøv og Gør Ligesom Jeg,0
Alogte Oho & His Sounds of Joy,Mam Yinne Wa,39
African Head Charge,Off The Beaten Track,30
Manos Tsangaris,Elephant's Easy Moonwalk Through the Night,3
Caribou,Never Come Back - Four Tet Remix,0
Tame Impala,Let It Happen,76
Carl Stone,Au Jus,0
Donato Dozzy,Parola - Rework,41
Yabby You,Dub of Jerusalem,13
Nick Drake,Fly,44
Ana Mazzotti,Agora ou Nunca Mais,40
Kamuran Akkor,İkimiz Bir Fidanız,36
Brainticket,Jardins,20
Raul Lovisoni,Prati Bagnati Del Monte Analogo,34
Cyril Walker,Won't You Serve Him,4
Jeff Parker,C'mon Now,0
Gruppo di Improvvisazione Nuova Consonanza,Niente,0
The New Year,My Bleeding Wound,9
EYE,Yellow Density,14
Reuben Wilson,"Got To Get Your Own - 7"" Short Edit",0
Delired Cameleon Family,Le boeuf,2
Gene Menger,Welcome Rain In Banana Grove,7
Jeanne Folly,5'...et quelque de bonheur,0
Totem Uruguay,Descarga,9
Labi Siffre,(Just) A Little More Line,1
Michael Naura Quartet,Call,12
Ramuntcho Matta,Ne - Original Mix,2
James Holden,10101,0
Lives Of Angels,Cold Expression,14
Caribou,Never Come Back - Morgan Geist Remix,0
Four Tet,Insect Near Piha Beach,36
Four Tet,Hi Hello,27
Caribou,Sunny's Time,31
Ian Pooley,900 Degrees,36
