Name of Song,Artist
Flowers,Miley Cyrus
Unholy,Sam Smith & Kim Petras
Anti-Hero,Taylor Swift
wait in the truck,HARDY & Lainey Wilson
Hey There Delilah,Plain White T's
Made You Look,Meghan Trainor
Gangsta Boo,Ice Spice & Lil Tjay
Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna
Thought You Should Know,Morgan Wallen
Crazy,Gnarls Barkley
Heart Like A Truck,Lainey Wilson
I'm Good (Blue),David Guetta & Bebe Rexha
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
Still Into You,Paramore
Unstoppable,Sia
Thank God,Kane Brown & Katelyn Brown
I Ain't Worried,OneRepublic
We Are Young (feat. Janelle Monáe),Fun.
Hold My Hand,Lady Gaga
The Kind of Love We Make,Luke Combs
Son Of A Sinner,Jelly Roll
red (feat. Morgan Wallen),HARDY
(You Make Me Feel Like) A Natural Woman,Aretha Franklin
Something in the Orange (Z&E's Version),Zach Bryan
Feel Good Inc.,Gorillaz
Ironic,Alanis Morissette
Calm Down,Rema & Selena Gomez
Under the Bridge,Red Hot Chili Peppers
Rock and a Hard Place,Bailey Zimmerman
You Oughta Know,Alanis Morissette
As It Was,Harry Styles
Players,Coi Leray
Madman's Eyes,Dave Matthews Band
One Thing At A Time,Morgan Wallen
NEED A FAVOR,Jelly Roll
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Heartbreak Feels So Good,Fall Out Boy
Good Riddance (Time of Your Life),Green Day
You Proof,Morgan Wallen
Stressed Out,twenty one pilots
Kill Bill,SZA
golden hour,JVKE
Tennessee Whiskey,Chris Stapleton
Welcome to the Black Parade,My Chemical Romance
I Ain't a Bitch,Alaura Lynne
Gratitude,Brandon Lake
Pretty Girls Walk,Big Boss Vette
Wasted On You,Morgan Wallen
"Going, Going, Gone",Luke Combs
I'll Be Waiting,Cian Ducrot
Misery Business,Paramore
Ain't It Fun,Paramore
What My World Spins Around,Jordan Davis
Love From The Other Side,Fall Out Boy
CUFF IT,Beyoncé
Uprising,Muse
I'm Good (Blue),David Guetta & Bebe Rexha
Journey,Zhang Zhe Han
SHOOTING STAR,XG
KNIGHT CRAWLER,Trippie Redd & Juice WRLD
Lavender Haze,Taylor Swift
Hand In My Pocket,Alanis Morissette
Under the Influence,Chris Brown
Dani California,Red Hot Chili Peppers
How Do I Say Goodbye,Dean Lewis
10:35,Tiësto & Tate McRae
Wreckage,Nate Smith
Something in the Orange,Zach Bryan
Handle On You,Parker McCollum
MOONLIGHT SUNRISE (House remix),TWICE
Wrecking Ball,Miley Cyrus
Sure Thing,Miguel
Bloody Mary,Lady Gaga
Shivers,Ed Sheeran
Some Nights,Fun.
About Damn Time,Lizzo
Fall In Love,Bailey Zimmerman
MOONLIGHT SUNRISE (Club remix),TWICE
MOONLIGHT SUNRISE (R&B remix),TWICE
High Hopes,Panic! At the Disco
Stick Season,Noah Kahan
Run Away to Mars,TALK
Perfectly Loved (feat. TobyMac),Rachael Lampa
First Things First,Consumed By Fire
MOONLIGHT SUNRISE (Instrumental),TWICE
Rich Flex,Drake & 21 Savage
What He Didn't Do,Carly Pearce
Southern Cross,"Crosby, Stills & Nash"
Until I Found You,Stephen Sanchez
Just Wanna Rock,Lil Uzi Vert
Dancin’ In The Country,Tyler Hubbard
Pick Me Up,Gabby Barrett
Boulevard of Broken Dreams,Green Day
Bebe Dame,Fuerza Regida & Grupo Frontera
She Had Me At Heads Carolina,Cole Swindell
Build a Boat,Colton Dixon
Until I Found You (Em Beihold Version),Stephen Sanchez & Em Beihold
World's Smallest Violin,AJR
Tennessee Orange,Megan Moroney
Gonna Be You (feat. Gloria Estefan and Debbie Harry),"Dolly Parton, Belinda Carlisle & Cyndi Lauper"
